"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finnish","Icelandic","English","Other","Unknown","Total"
284,29.253115,65.9869665,0,0,0,17,0,2,2,0,21
285,26.3264546363636,60.4559492272727,0,0,0,4,0,2,0,1,7
286,28.1609321,61.0977636,0,0,0,42,0,4,14,2,62
287,30.3540125,63.378857,0,0,0,11,0,3,0,0,14
288,21.7647645,60.4240461666667,1,0,0,26,0,1,2,0,30
289,24.43124775,64.3521645,0,0,0,5,0,0,0,0,5
290,26.10100225,64.52114025,0,0,0,7,0,0,0,0,7
291,23.792408,67.8167555,0,0,0,5,0,1,1,0,7
292,28.0015955,66.1465275,0,0,0,16,0,0,1,0,17
293,27.1588065,65.523535,0,0,0,12,0,0,0,0,12
294,26.731248,63.9332935,0,0,0,5,0,0,0,0,5
295,21.41791,60.9901785,0,0,0,0,0,0,0,0,0
296,26.5882145,66.0014765,0,0,0,7,0,0,0,0,7
297,26.0311075,66.669948,0,0,0,32,0,6,11,4,53
298,28.949175,67.1056285,0,0,0,13,0,0,0,0,13
299,28.440533,67.6489615,0,0,0,20,0,0,0,0,20
300,25.2419285,65.942678,0,0,0,12,0,4,0,0,16
301,27.014109,67.7046295,0,0,0,37,0,0,0,4,41
302,28.522907,61.7362745,0,0,0,1,0,0,0,0,1
303,29.065463,65.0436585,0,0,0,14,0,0,0,0,14
304,28.465884,65.5483855,0,0,0,5,0,0,0,0,5
305,30.3693335,62.238447,0,0,0,8,0,0,2,2,12
306,26.808741,64.6912375,0,0,0,6,0,0,0,0,6
307,28.7819915,63.720269,0,0,0,4,0,0,0,0,4
308,25.8218805,63.07912,0,0,0,13,0,0,1,1,15
309,-19.00682,64.893057,1,2,1,1,329,340,149,55,878
